时间,NOx含量
2021-12-22 00:00:00,56.3889
2021-12-22 00:00:00,56.3889
2021-12-22 00:00:01,56.2407
2021-12-22 00:00:02,56.2963
2021-12-22 00:00:03,56.2963
2021-12-22 00:00:04,56.4259
2021-12-22 00:00:05,54.5556
2021-12-22 00:00:06,54.4259
2021-12-22 00:00:07,54.4259
2021-12-22 00:00:08,54.3704
2021-12-22 00:00:09,54.6667
2021-12-22 00:00:10,54.6111
2021-12-22 00:00:11,56.4815
2021-12-22 00:00:12,56.3148
2021-12-22 00:00:13,56.3148
2021-12-22 00:00:14,56.4259
2021-12-22 00:00:15,56.4815
2021-12-22 00:00:16,56.4444
2021-12-22 00:00:17,56.4815
2021-12-22 00:00:18,57.5
2021-12-22 00:00:19,57.4815
2021-12-22 00:00:20,57.3889
2021-12-22 00:00:21,57.6111
2021-12-22 00:00:22,57.537
2021-12-22 00:00:23,57.6667
2021-12-22 00:00:24,55.6296
2021-12-22 00:00:25,55.6852
2021-12-22 00:00:26,55.5556
2021-12-22 00:00:27,55.5
2021-12-22 00:00:28,55.8519
2021-12-22 00:00:29,55.7222
2021-12-22 00:00:30,55.8519
2021-12-22 00:00:31,54.5556
2021-12-22 00:00:32,54.537
2021-12-22 00:00:33,54.3704
2021-12-22 00:00:34,54.6667
2021-12-22 00:00:35,54.537
2021-12-22 00:00:36,54.7222
2021-12-22 00:00:37,54.6667
2021-12-22 00:00:38,55.7963
2021-12-22 00:00:39,55.5556
2021-12-22 00:00:40,55.5
2021-12-22 00:00:41,55.7222
2021-12-22 00:00:42,55.9259
2021-12-22 00:00:43,55.8519
2021-12-22 00:00:44,56.8889
2021-12-22 00:00:45,56.8889
2021-12-22 00:00:46,56.9815
2021-12-22 00:00:47,56.8519
2021-12-22 00:00:48,57.0
2021-12-22 00:00:49,56.9444
2021-12-22 00:00:50,56.9444
2021-12-22 00:00:51,57.5
2021-12-22 00:00:52,57.4444
2021-12-22 00:00:53,57.5556
2021-12-22 00:00:54,57.3704
2021-12-22 00:00:55,57.5
2021-12-22 00:00:56,57.6111
2021-12-22 00:00:57,57.0556
2021-12-22 00:00:58,56.8148
2021-12-22 00:00:59,56.7963
2021-12-22 00:01:00,56.7407
2021-12-22 00:01:01,56.7593
2021-12-22 00:01:02,56.7963
2021-12-22 00:01:03,56.9259
2021-12-22 00:01:04,56.9259
2021-12-22 00:01:05,56.9815
2021-12-22 00:01:06,56.9444
2021-12-22 00:01:07,56.9444
2021-12-22 00:01:08,56.8148
2021-12-22 00:01:09,56.8148
2021-12-22 00:01:10,56.7593
2021-12-22 00:01:11,57.4259
2021-12-22 00:01:12,57.3704
2021-12-22 00:01:13,57.4815
2021-12-22 00:01:14,57.6111
2021-12-22 00:01:15,57.5
2021-12-22 00:01:16,57.5
2021-12-22 00:01:17,59.7593
2021-12-22 00:01:18,59.7037
2021-12-22 00:01:19,59.7037
2021-12-22 00:01:20,59.8704
2021-12-22 00:01:21,59.7037
2021-12-22 00:01:22,59.7407
2021-12-22 00:01:23,59.7593
2021-12-22 00:01:24,65.2037
2021-12-22 00:01:25,65.0741
2021-12-22 00:01:26,65.2037
2021-12-22 00:01:27,65.1481
2021-12-22 00:01:28,65.1481
2021-12-22 00:01:29,64.9074
2021-12-22 00:01:30,58.5741
2021-12-22 00:01:31,58.6852
2021-12-22 00:01:32,58.6852
2021-12-22 00:01:33,58.5556
2021-12-22 00:01:34,58.7407
2021-12-22 00:01:35,58.9259
2021-12-22 00:01:36,58.8704
2021-12-22 00:01:37,57.5741
2021-12-22 00:01:38,57.4444
2021-12-22 00:01:39,57.4444
2021-12-22 00:01:40,57.4259
2021-12-22 00:01:41,57.3704
2021-12-22 00:01:42,57.5
2021-12-22 00:01:43,57.6852
2021-12-22 00:01:44,57.0556
2021-12-22 00:01:45,56.7593
2021-12-22 00:01:46,56.8519
2021-12-22 00:01:47,56.6852
2021-12-22 00:01:48,57.0556
2021-12-22 00:01:49,56.9259
2021-12-22 00:01:50,60.0
2021-12-22 00:01:51,59.8333
2021-12-22 00:01:52,59.8889
2021-12-22 00:01:53,59.7037
2021-12-22 00:01:54,60.0
2021-12-22 00:01:55,59.8704
2021-12-22 00:01:56,60.0
2021-12-22 00:01:57,61.463
2021-12-22 00:01:58,61.5185
2021-12-22 00:01:59,61.3333
2021-12-22 00:02:00,61.3889
2021-12-22 00:02:01,61.6852
2021-12-22 00:02:02,61.6296
2021-12-22 00:02:03,61.3889
2021-12-22 00:02:04,61.5741
2021-12-22 00:02:05,61.5185
2021-12-22 00:02:06,61.6852
2021-12-22 00:02:07,61.5556
2021-12-22 00:02:08,61.5741
2021-12-22 00:02:09,61.6852
2021-12-22 00:02:10,62.2037
2021-12-22 00:02:11,62.0741
2021-12-22 00:02:12,61.8889
2021-12-22 00:02:13,62.0185
2021-12-22 00:02:14,62.0926
2021-12-22 00:02:15,62.0926
2021-12-22 00:02:16,62.2593
2021-12-22 00:02:17,60.3333
2021-12-22 00:02:18,60.2037
2021-12-22 00:02:19,60.2037
2021-12-22 00:02:20,60.6111
2021-12-22 00:02:21,60.4259
2021-12-22 00:02:22,60.5556
2021-12-22 00:02:23,61.0185
2021-12-22 00:02:24,61.0
2021-12-22 00:02:25,61.0
2021-12-22 00:02:26,61.1296
2021-12-22 00:02:27,61.0556
2021-12-22 00:02:28,61.1852
2021-12-22 00:02:29,61.1296
2021-12-22 00:02:30,61.0185
2021-12-22 00:02:31,60.9444
2021-12-22 00:02:32,60.963
2021-12-22 00:02:33,61.0
2021-12-22 00:02:34,61.1296
2021-12-22 00:02:35,61.0185
2021-12-22 00:02:36,63.3889
2021-12-22 00:02:37,63.463
2021-12-22 00:02:38,63.3148
2021-12-22 00:02:39,63.3148
2021-12-22 00:02:40,63.1481
2021-12-22 00:02:41,63.3148
2021-12-22 00:02:42,63.5185
2021-12-22 00:02:43,62.0741
2021-12-22 00:02:44,62.1481
2021-12-22 00:02:45,61.963
2021-12-22 00:02:46,62.0926
2021-12-22 00:02:47,62.0
2021-12-22 00:02:48,62.1296
2021-12-22 00:02:49,62.1852
2021-12-22 00:02:50,62.1296
2021-12-22 00:02:51,62.2037
2021-12-22 00:02:52,62.1481
2021-12-22 00:02:53,62.0926
2021-12-22 00:02:54,62.2037
