时间,一次风调门
2021-12-22 00:00:00,60.2407
2021-12-22 00:00:00,60.2407
2021-12-22 00:00:01,60.3333
2021-12-22 00:00:02,60.4792
2021-12-22 00:00:03,60.5208
2021-12-22 00:00:04,60.537
2021-12-22 00:00:05,60.5
2021-12-22 00:00:06,60.4421
2021-12-22 00:00:07,60.4421
2021-12-22 00:00:08,60.4491
2021-12-22 00:00:09,60.5208
2021-12-22 00:00:10,60.537
2021-12-22 00:00:11,60.4884
2021-12-22 00:00:12,60.3657
2021-12-22 00:00:13,60.1019
2021-12-22 00:00:14,60.2454
2021-12-22 00:00:15,60.3657
2021-12-22 00:00:16,60.4352
2021-12-22 00:00:17,60.4259
2021-12-22 00:00:18,60.3727
2021-12-22 00:00:19,60.3403
2021-12-22 00:00:20,60.3171
2021-12-22 00:00:21,60.3866
2021-12-22 00:00:22,60.412
2021-12-22 00:00:23,60.4259
2021-12-22 00:00:24,60.4028
2021-12-22 00:00:25,60.3565
2021-12-22 00:00:26,60.3333
2021-12-22 00:00:27,60.3588
2021-12-22 00:00:28,60.3565
2021-12-22 00:00:29,60.419
2021-12-22 00:00:30,60.4421
2021-12-22 00:00:31,60.3565
2021-12-22 00:00:32,60.4653
2021-12-22 00:00:33,60.6157
2021-12-22 00:00:34,60.5671
2021-12-22 00:00:35,60.4884
2021-12-22 00:00:36,60.4977
2021-12-22 00:00:37,60.5139
2021-12-22 00:00:38,60.5046
2021-12-22 00:00:39,60.3495
2021-12-22 00:00:40,60.206
2021-12-22 00:00:41,60.3079
2021-12-22 00:00:42,60.4352
2021-12-22 00:00:43,60.4815
2021-12-22 00:00:44,60.419
2021-12-22 00:00:45,60.3032
2021-12-22 00:00:46,60.1134
2021-12-22 00:00:47,60.169
2021-12-22 00:00:48,60.3102
2021-12-22 00:00:49,60.3657
2021-12-22 00:00:50,60.3657
2021-12-22 00:00:51,60.287
2021-12-22 00:00:52,60.3264
2021-12-22 00:00:53,60.7245
2021-12-22 00:00:54,60.7407
2021-12-22 00:00:55,60.6088
2021-12-22 00:00:56,60.5046
2021-12-22 00:00:57,60.4676
2021-12-22 00:00:58,60.3912
2021-12-22 00:00:59,60.0602
2021-12-22 00:01:00,60.1296
2021-12-22 00:01:01,60.3241
2021-12-22 00:01:02,60.3889
2021-12-22 00:01:03,60.3264
2021-12-22 00:01:04,60.3403
2021-12-22 00:01:05,60.3009
2021-12-22 00:01:06,60.2708
2021-12-22 00:01:07,60.294
2021-12-22 00:01:08,60.294
2021-12-22 00:01:09,60.2801
2021-12-22 00:01:10,60.3171
2021-12-22 00:01:11,60.3403
2021-12-22 00:01:12,60.4097
2021-12-22 00:01:13,60.5046
2021-12-22 00:01:14,60.4745
2021-12-22 00:01:15,60.4213
2021-12-22 00:01:16,60.3495
2021-12-22 00:01:17,60.3264
2021-12-22 00:01:18,60.4352
2021-12-22 00:01:19,60.5833
2021-12-22 00:01:20,60.5602
2021-12-22 00:01:21,60.4352
2021-12-22 00:01:22,60.3796
2021-12-22 00:01:23,60.4097
2021-12-22 00:01:24,60.4769
2021-12-22 00:01:25,60.4491
2021-12-22 00:01:26,60.412
2021-12-22 00:01:27,60.3958
2021-12-22 00:01:28,60.4514
2021-12-22 00:01:29,60.4815
2021-12-22 00:01:30,60.4514
2021-12-22 00:01:31,60.5208
2021-12-22 00:01:32,60.5208
2021-12-22 00:01:33,60.5116
2021-12-22 00:01:34,60.4907
2021-12-22 00:01:35,60.4745
2021-12-22 00:01:36,60.4514
2021-12-22 00:01:37,60.4514
2021-12-22 00:01:38,60.4907
2021-12-22 00:01:39,60.5069
2021-12-22 00:01:40,60.5069
2021-12-22 00:01:41,60.4653
2021-12-22 00:01:42,60.4444
2021-12-22 00:01:43,60.4583
2021-12-22 00:01:44,60.4676
2021-12-22 00:01:45,60.5139
2021-12-22 00:01:46,60.4977
2021-12-22 00:01:47,60.4352
2021-12-22 00:01:48,60.4352
2021-12-22 00:01:49,60.4977
2021-12-22 00:01:50,60.5046
2021-12-22 00:01:51,60.5139
2021-12-22 00:01:52,60.5069
2021-12-22 00:01:53,60.4815
2021-12-22 00:01:54,60.4421
2021-12-22 00:01:55,60.4352
2021-12-22 00:01:56,60.4815
2021-12-22 00:01:57,60.5139
2021-12-22 00:01:58,60.4375
2021-12-22 00:01:59,60.3194
2021-12-22 00:02:00,60.3727
2021-12-22 00:02:01,60.412
2021-12-22 00:02:02,60.4352
2021-12-22 00:02:03,60.4514
2021-12-22 00:02:04,60.5139
2021-12-22 00:02:05,60.5856
2021-12-22 00:02:06,60.5301
2021-12-22 00:02:07,60.4352
2021-12-22 00:02:08,60.4491
2021-12-22 00:02:09,60.5046
2021-12-22 00:02:10,60.5139
2021-12-22 00:02:11,60.5926
2021-12-22 00:02:12,60.7107
2021-12-22 00:02:13,60.6065
2021-12-22 00:02:14,60.4745
2021-12-22 00:02:15,60.4745
2021-12-22 00:02:16,60.5046
2021-12-22 00:02:17,60.5463
2021-12-22 00:02:18,60.4907
2021-12-22 00:02:19,60.412
2021-12-22 00:02:20,60.4444
2021-12-22 00:02:21,60.4977
2021-12-22 00:02:22,60.537
2021-12-22 00:02:23,60.5301
2021-12-22 00:02:24,60.5509
2021-12-22 00:02:25,60.537
2021-12-22 00:02:26,60.5208
2021-12-22 00:02:27,60.4977
2021-12-22 00:02:28,60.4977
2021-12-22 00:02:29,60.5231
2021-12-22 00:02:30,60.5602
2021-12-22 00:02:31,60.6366
2021-12-22 00:02:32,60.8264
2021-12-22 00:02:33,60.7569
2021-12-22 00:02:34,60.6389
2021-12-22 00:02:35,60.6389
