时间,主蒸汽流量
2021-12-22 00:00:00,61.6909
2021-12-22 00:00:00,61.6909
2021-12-22 00:00:01,61.3692
2021-12-22 00:00:02,61.4332
2021-12-22 00:00:03,61.3655
2021-12-22 00:00:04,61.4266
2021-12-22 00:00:05,61.3639
2021-12-22 00:00:06,61.5586
2021-12-22 00:00:07,61.5586
2021-12-22 00:00:08,61.5676
2021-12-22 00:00:09,61.3784
2021-12-22 00:00:10,61.4247
2021-12-22 00:00:11,61.3944
2021-12-22 00:00:12,61.5261
2021-12-22 00:00:13,61.4726
2021-12-22 00:00:14,61.4663
2021-12-22 00:00:15,61.6026
2021-12-22 00:00:16,61.678
2021-12-22 00:00:17,61.4854
2021-12-22 00:00:18,61.4551
2021-12-22 00:00:19,61.8504
2021-12-22 00:00:20,61.4992
2021-12-22 00:00:21,61.5165
2021-12-22 00:00:22,61.5956
2021-12-22 00:00:23,61.4649
2021-12-22 00:00:24,61.6529
2021-12-22 00:00:25,61.5367
2021-12-22 00:00:26,61.4402
2021-12-22 00:00:27,61.5383
2021-12-22 00:00:28,61.6776
2021-12-22 00:00:29,61.6107
2021-12-22 00:00:30,61.3173
2021-12-22 00:00:31,61.6536
2021-12-22 00:00:32,61.5663
2021-12-22 00:00:33,61.4091
2021-12-22 00:00:34,61.4724
2021-12-22 00:00:35,61.7704
2021-12-22 00:00:36,61.7085
2021-12-22 00:00:37,61.5974
2021-12-22 00:00:38,61.5146
2021-12-22 00:00:39,61.5319
2021-12-22 00:00:40,61.5138
2021-12-22 00:00:41,61.687
2021-12-22 00:00:42,61.5117
2021-12-22 00:00:43,61.4094
2021-12-22 00:00:44,61.5034
2021-12-22 00:00:45,61.3991
2021-12-22 00:00:46,61.6634
2021-12-22 00:00:47,61.7157
2021-12-22 00:00:48,61.5831
2021-12-22 00:00:49,61.584
2021-12-22 00:00:50,61.5243
2021-12-22 00:00:51,61.4368
2021-12-22 00:00:52,61.4927
2021-12-22 00:00:53,61.2002
2021-12-22 00:00:54,61.4514
2021-12-22 00:00:55,61.476
2021-12-22 00:00:56,61.4034
2021-12-22 00:00:57,61.4434
2021-12-22 00:00:58,61.5523
2021-12-22 00:00:59,61.6484
2021-12-22 00:01:00,61.866
2021-12-22 00:01:01,61.5642
2021-12-22 00:01:02,61.3749
2021-12-22 00:01:03,61.3255
2021-12-22 00:01:04,61.4251
2021-12-22 00:01:05,61.363
2021-12-22 00:01:06,61.4935
2021-12-22 00:01:07,61.5094
2021-12-22 00:01:08,61.3949
2021-12-22 00:01:09,61.4087
2021-12-22 00:01:10,61.4052
2021-12-22 00:01:11,61.6712
2021-12-22 00:01:12,61.5088
2021-12-22 00:01:13,61.4921
2021-12-22 00:01:14,61.3447
2021-12-22 00:01:15,61.3983
2021-12-22 00:01:16,61.4841
2021-12-22 00:01:17,61.5747
2021-12-22 00:01:18,61.4331
2021-12-22 00:01:19,61.4508
2021-12-22 00:01:20,61.3567
2021-12-22 00:01:21,61.4778
2021-12-22 00:01:22,61.4953
2021-12-22 00:01:23,61.5374
2021-12-22 00:01:24,61.2739
2021-12-22 00:01:25,61.3586
2021-12-22 00:01:26,61.216
