时间,二次风调门
2021-12-22 00:00:00,19.6343
2021-12-22 00:00:00,19.6343
2021-12-22 00:00:01,19.6898
2021-12-22 00:00:02,19.6944
2021-12-22 00:00:03,19.6713
2021-12-22 00:00:04,19.6736
2021-12-22 00:00:05,19.6806
2021-12-22 00:00:06,19.6713
2021-12-22 00:00:07,19.6713
2021-12-22 00:00:08,19.6481
2021-12-22 00:00:09,19.6505
2021-12-22 00:00:10,19.6343
2021-12-22 00:00:11,19.6991
2021-12-22 00:00:12,19.7199
2021-12-22 00:00:13,19.6412
2021-12-22 00:00:14,19.706
2021-12-22 00:00:15,19.7546
2021-12-22 00:00:16,19.7222
2021-12-22 00:00:17,19.6505
2021-12-22 00:00:18,19.588
2021-12-22 00:00:19,19.6713
2021-12-22 00:00:20,19.6944
2021-12-22 00:00:21,19.6829
2021-12-22 00:00:22,19.7106
2021-12-22 00:00:23,19.6366
2021-12-22 00:00:24,19.6319
2021-12-22 00:00:25,19.6343
2021-12-22 00:00:26,19.6713
2021-12-22 00:00:27,19.6782
2021-12-22 00:00:28,19.6667
2021-12-22 00:00:29,19.6505
2021-12-22 00:00:30,19.6435
2021-12-22 00:00:31,19.6505
2021-12-22 00:00:32,19.6806
2021-12-22 00:00:33,19.6713
2021-12-22 00:00:34,19.6806
2021-12-22 00:00:35,19.6644
2021-12-22 00:00:36,19.6296
2021-12-22 00:00:37,19.6273
2021-12-22 00:00:38,19.6875
2021-12-22 00:00:39,19.6713
2021-12-22 00:00:40,19.6782
2021-12-22 00:00:41,19.6574
2021-12-22 00:00:42,19.6736
2021-12-22 00:00:43,19.6829
2021-12-22 00:00:44,19.625
2021-12-22 00:00:45,19.6019
2021-12-22 00:00:46,19.6968
2021-12-22 00:00:47,19.7037
2021-12-22 00:00:48,19.6273
2021-12-22 00:00:49,19.6481
2021-12-22 00:00:50,19.6481
2021-12-22 00:00:51,19.6343
2021-12-22 00:00:52,19.6343
2021-12-22 00:00:53,19.6505
2021-12-22 00:00:54,19.7037
2021-12-22 00:00:55,19.6829
2021-12-22 00:00:56,19.6736
2021-12-22 00:00:57,19.6366
2021-12-22 00:00:58,19.6435
2021-12-22 00:00:59,19.6968
2021-12-22 00:01:00,19.6782
2021-12-22 00:01:01,19.6782
2021-12-22 00:01:02,19.6736
2021-12-22 00:01:03,19.6296
2021-12-22 00:01:04,19.6806
2021-12-22 00:01:05,19.6366
2021-12-22 00:01:06,19.6412
2021-12-22 00:01:07,19.6273
2021-12-22 00:01:08,19.6343
2021-12-22 00:01:09,19.6713
2021-12-22 00:01:10,19.662
2021-12-22 00:01:11,19.6412
2021-12-22 00:01:12,19.6782
2021-12-22 00:01:13,19.6806
2021-12-22 00:01:14,19.6366
2021-12-22 00:01:15,19.6412
2021-12-22 00:01:16,19.6343
2021-12-22 00:01:17,19.6551
2021-12-22 00:01:18,19.7338
2021-12-22 00:01:19,19.7731
2021-12-22 00:01:20,19.7593
2021-12-22 00:01:21,19.6713
2021-12-22 00:01:22,19.6389
2021-12-22 00:01:23,19.6713
2021-12-22 00:01:24,19.6829
2021-12-22 00:01:25,19.6597
2021-12-22 00:01:26,19.6343
2021-12-22 00:01:27,19.6273
2021-12-22 00:01:28,19.6435
2021-12-22 00:01:29,19.6898
2021-12-22 00:01:30,19.6319
2021-12-22 00:01:31,19.713
2021-12-22 00:01:32,19.713
2021-12-22 00:01:33,19.7269
2021-12-22 00:01:34,19.6667
2021-12-22 00:01:35,19.588
2021-12-22 00:01:36,19.6273
2021-12-22 00:01:37,19.6667
2021-12-22 00:01:38,19.6551
2021-12-22 00:01:39,19.625
2021-12-22 00:01:40,19.6574
2021-12-22 00:01:41,19.6644
2021-12-22 00:01:42,19.625
2021-12-22 00:01:43,19.6343
2021-12-22 00:01:44,19.6204
2021-12-22 00:01:45,19.6806
2021-12-22 00:01:46,19.6829
2021-12-22 00:01:47,19.6574
2021-12-22 00:01:48,19.6366
2021-12-22 00:01:49,19.6574
2021-12-22 00:01:50,19.6296
2021-12-22 00:01:51,19.6412
2021-12-22 00:01:52,19.6481
2021-12-22 00:01:53,19.6481
2021-12-22 00:01:54,19.6435
2021-12-22 00:01:55,19.6736
2021-12-22 00:01:56,19.6273
2021-12-22 00:01:57,19.6551
2021-12-22 00:01:58,19.6412
2021-12-22 00:01:59,19.6713
2021-12-22 00:02:00,19.6713
2021-12-22 00:02:01,19.6273
2021-12-22 00:02:02,19.6366
2021-12-22 00:02:03,19.6806
2021-12-22 00:02:04,19.6343
2021-12-22 00:02:05,19.6551
2021-12-22 00:02:06,19.6366
2021-12-22 00:02:07,19.6667
2021-12-22 00:02:08,19.6574
2021-12-22 00:02:09,19.6343
2021-12-22 00:02:10,19.6343
2021-12-22 00:02:11,19.6644
2021-12-22 00:02:12,19.6806
2021-12-22 00:02:13,19.6806
2021-12-22 00:02:14,19.6412
2021-12-22 00:02:15,19.6412
2021-12-22 00:02:16,19.6528
2021-12-22 00:02:17,19.6319
2021-12-22 00:02:18,19.6944
2021-12-22 00:02:19,19.6782
2021-12-22 00:02:20,19.6204
2021-12-22 00:02:21,19.6204
2021-12-22 00:02:22,19.6505
2021-12-22 00:02:23,19.6944
2021-12-22 00:02:24,19.6898
2021-12-22 00:02:25,19.6111
2021-12-22 00:02:26,19.6273
2021-12-22 00:02:27,19.6898
2021-12-22 00:02:28,19.6435
2021-12-22 00:02:29,19.6134
2021-12-22 00:02:30,19.6319
2021-12-22 00:02:31,19.6713
2021-12-22 00:02:32,19.6782
2021-12-22 00:02:33,19.6806
2021-12-22 00:02:34,19.6505
2021-12-22 00:02:35,19.6481
2021-12-22 00:02:36,19.6042
2021-12-22 00:02:37,19.6111
2021-12-22 00:02:38,19.6944
2021-12-22 00:02:39,19.7037
2021-12-22 00:02:40,19.6852
2021-12-22 00:02:41,19.6505
2021-12-22 00:02:42,19.6204
2021-12-22 00:02:43,19.6412
2021-12-22 00:02:44,19.6481
2021-12-22 00:02:45,19.669
2021-12-22 00:02:46,19.6343
2021-12-22 00:02:47,19.6806
2021-12-22 00:02:48,19.6597
2021-12-22 00:02:49,19.6134
2021-12-22 00:02:50,19.6736
2021-12-22 00:02:51,19.6111
2021-12-22 00:02:52,19.6366
2021-12-22 00:02:53,19.5972
2021-12-22 00:02:54,19.5741
2021-12-22 00:02:55,19.6644
2021-12-22 00:02:56,19.5949
2021-12-22 00:02:57,19.6875
2021-12-22 00:02:58,19.6875
2021-12-22 00:02:59,19.6782
2021-12-22 00:03:00,19.6644
2021-12-22 00:03:01,19.6343
2021-12-22 00:03:02,19.6806
2021-12-22 00:03:03,19.6343
2021-12-22 00:03:04,19.6551
2021-12-22 00:03:05,19.6782
2021-12-22 00:03:06,19.6806
2021-12-22 00:03:07,19.6875
2021-12-22 00:03:08,19.6574
2021-12-22 00:03:09,19.6644
2021-12-22 00:03:10,19.6644
2021-12-22 00:03:11,19.6435
2021-12-22 00:03:12,19.6435
2021-12-22 00:03:13,19.6597
2021-12-22 00:03:14,19.6806
2021-12-22 00:03:15,19.6806
2021-12-22 00:03:16,19.6597
2021-12-22 00:03:17,19.6667
2021-12-22 00:03:18,19.6736
2021-12-22 00:03:19,19.6597
2021-12-22 00:03:20,19.6481
2021-12-22 00:03:21,19.625
2021-12-22 00:03:22,19.6713
2021-12-22 00:03:23,19.6366
2021-12-22 00:03:24,19.6412
2021-12-22 00:03:25,19.6898
2021-12-22 00:03:26,19.6644
2021-12-22 00:03:27,19.662
2021-12-22 00:03:28,19.6481
2021-12-22 00:03:29,19.6505
2021-12-22 00:03:30,19.6736
2021-12-22 00:03:31,19.6343
2021-12-22 00:03:32,19.6065
2021-12-22 00:03:33,19.662
2021-12-22 00:03:34,19.6481
2021-12-22 00:03:35,19.6644
2021-12-22 00:03:36,19.6343
2021-12-22 00:03:37,19.6343
2021-12-22 00:03:38,19.6366
2021-12-22 00:03:39,19.6644
2021-12-22 00:03:40,19.6574
2021-12-22 00:03:41,19.6574
2021-12-22 00:03:42,19.6435
2021-12-22 00:03:43,19.6505
2021-12-22 00:03:44,19.6435
2021-12-22 00:03:45,19.6435
2021-12-22 00:03:46,19.6713
2021-12-22 00:03:47,19.6574
2021-12-22 00:03:48,19.6852
2021-12-22 00:03:49,19.6875
2021-12-22 00:03:50,19.6343
2021-12-22 00:03:51,19.6343
2021-12-22 00:03:52,19.6042
2021-12-22 00:03:53,19.6551
2021-12-22 00:03:54,19.6782
2021-12-22 00:03:55,19.6898
2021-12-22 00:03:56,19.6667
2021-12-22 00:03:57,19.6528
2021-12-22 00:03:58,19.6435
2021-12-22 00:03:59,19.6412
2021-12-22 00:04:00,19.6667
2021-12-22 00:04:01,19.6736
2021-12-22 00:04:02,19.6505
2021-12-22 00:04:03,19.6644
2021-12-22 00:04:04,19.6574
2021-12-22 00:04:05,19.662
2021-12-22 00:04:06,19.7338
2021-12-22 00:04:07,19.7824
2021-12-22 00:04:08,19.6597
2021-12-22 00:04:09,19.6273
2021-12-22 00:04:10,19.6204
2021-12-22 00:04:11,19.6991
2021-12-22 00:04:12,19.7106
2021-12-22 00:04:13,19.6898
2021-12-22 00:04:14,19.7361
2021-12-22 00:04:15,19.7755
2021-12-22 00:04:16,19.7222
2021-12-22 00:04:17,19.7106
2021-12-22 00:04:18,19.6759
2021-12-22 00:04:19,19.9005
2021-12-22 00:04:20,19.9005
2021-12-22 00:04:21,19.8681
2021-12-22 00:04:22,19.8657
2021-12-22 00:04:23,19.8634
2021-12-22 00:04:24,19.9074
2021-12-22 00:04:25,19.9491
2021-12-22 00:04:26,19.956
2021-12-22 00:04:27,19.9931
2021-12-22 00:04:28,20.0324
2021-12-22 00:04:29,20.0255
2021-12-22 00:04:30,20.0949
2021-12-22 00:04:31,20.1343
2021-12-22 00:04:32,20.0949
2021-12-22 00:04:33,20.213
2021-12-22 00:04:34,20.2685
2021-12-22 00:04:35,20.2454
2021-12-22 00:04:36,20.2616
2021-12-22 00:04:37,20.2847
2021-12-22 00:04:38,20.3588
2021-12-22 00:04:39,20.4074
2021-12-22 00:04:40,20.3704
2021-12-22 00:04:41,20.3218
2021-12-22 00:04:42,20.4005
2021-12-22 00:04:43,20.4468
2021-12-22 00:04:44,20.419
2021-12-22 00:04:45,20.3958
2021-12-22 00:04:46,20.4722
2021-12-22 00:04:47,20.5139
2021-12-22 00:04:48,20.4907
2021-12-22 00:04:49,20.4815
2021-12-22 00:04:50,20.4329
2021-12-22 00:04:51,20.4259
2021-12-22 00:04:52,20.4954
2021-12-22 00:04:53,20.4861
2021-12-22 00:04:54,20.463
2021-12-22 00:04:55,20.3634
2021-12-22 00:04:56,20.331
2021-12-22 00:04:57,20.3171
2021-12-22 00:04:58,20.2477
2021-12-22 00:04:59,20.1736
2021-12-22 00:05:00,20.0417
2021-12-22 00:05:01,20.0324
2021-12-22 00:05:02,19.9236
2021-12-22 00:05:03,19.7731
2021-12-22 00:05:04,19.5949
2021-12-22 00:05:05,19.5949
2021-12-22 00:05:06,19.6505
2021-12-22 00:05:07,19.6991
2021-12-22 00:05:08,19.6644
2021-12-22 00:05:09,19.6019
2021-12-22 00:05:10,19.6481
2021-12-22 00:05:11,19.6667
2021-12-22 00:05:12,19.6574
2021-12-22 00:05:13,19.6597
2021-12-22 00:05:14,19.6111
2021-12-22 00:05:15,19.6273
2021-12-22 00:05:16,19.6574
2021-12-22 00:05:17,19.6551
2021-12-22 00:05:18,19.6134
2021-12-22 00:05:19,19.6574
2021-12-22 00:05:20,19.6806
2021-12-22 00:05:21,19.6296
2021-12-22 00:05:22,19.6412
2021-12-22 00:05:23,19.6273
2021-12-22 00:05:24,19.6644
2021-12-22 00:05:25,19.6875
2021-12-22 00:05:26,19.6366
2021-12-22 00:05:27,19.6435
2021-12-22 00:05:28,19.6644
2021-12-22 00:05:29,19.6296
2021-12-22 00:05:30,19.6273
2021-12-22 00:05:31,19.6181
2021-12-22 00:05:32,19.6481
2021-12-22 00:05:33,19.6481
2021-12-22 00:05:34,19.6875
2021-12-22 00:05:35,19.6968
2021-12-22 00:05:36,19.6736
2021-12-22 00:05:37,19.6111
2021-12-22 00:05:38,19.6412
2021-12-22 00:05:39,19.625
2021-12-22 00:05:40,19.6713
2021-12-22 00:05:41,19.669
2021-12-22 00:05:42,19.6597
2021-12-22 00:05:43,19.669
2021-12-22 00:05:44,19.6481
2021-12-22 00:05:45,19.6181
2021-12-22 00:05:46,19.669
2021-12-22 00:05:47,19.6713
2021-12-22 00:05:48,19.6898
2021-12-22 00:05:49,19.6806
2021-12-22 00:05:50,19.6343
2021-12-22 00:05:51,19.6343
2021-12-22 00:05:52,19.6505
2021-12-22 00:05:53,19.7037
2021-12-22 00:05:54,19.6806
2021-12-22 00:05:55,19.625
2021-12-22 00:05:56,19.713
2021-12-22 00:05:57,19.7269
2021-12-22 00:05:58,19.6296
2021-12-22 00:05:59,19.588
2021-12-22 00:06:00,19.6019
2021-12-22 00:06:01,19.7431
2021-12-22 00:06:02,19.7963
2021-12-22 00:06:03,19.7431
2021-12-22 00:06:04,19.6134
2021-12-22 00:06:05,19.5718
2021-12-22 00:06:06,19.6343
2021-12-22 00:06:07,19.6574
2021-12-22 00:06:08,19.6551
2021-12-22 00:06:09,19.6412
2021-12-22 00:06:10,19.6713
2021-12-22 00:06:11,19.6806
2021-12-22 00:06:12,19.6667
2021-12-22 00:06:13,19.6366
2021-12-22 00:06:14,19.6505
2021-12-22 00:06:15,19.6319
2021-12-22 00:06:16,19.6319
2021-12-22 00:06:17,19.6875
2021-12-22 00:06:18,19.6736
2021-12-22 00:06:19,19.6574
2021-12-22 00:06:20,19.6412
2021-12-22 00:06:21,19.6667
2021-12-22 00:06:22,19.6412
2021-12-22 00:06:23,19.6528
2021-12-22 00:06:24,19.6574
2021-12-22 00:06:25,19.6829
2021-12-22 00:06:26,19.6366
2021-12-22 00:06:27,19.6412
2021-12-22 00:06:28,19.6782
2021-12-22 00:06:29,19.6782
2021-12-22 00:06:30,19.6319
2021-12-22 00:06:31,19.6736
2021-12-22 00:06:32,19.6806
2021-12-22 00:06:33,19.6968
2021-12-22 00:06:34,19.6343
2021-12-22 00:06:35,19.662
2021-12-22 00:06:36,19.625
2021-12-22 00:06:37,19.6551
2021-12-22 00:06:38,19.7106
2021-12-22 00:06:39,19.6736
2021-12-22 00:06:40,19.6111
2021-12-22 00:06:41,19.6181
2021-12-22 00:06:42,19.6713
2021-12-22 00:06:43,19.6574
2021-12-22 00:06:44,19.6644
2021-12-22 00:06:45,19.6481
2021-12-22 00:06:46,19.6505
2021-12-22 00:06:47,19.7037
2021-12-22 00:06:48,19.7176
2021-12-22 00:06:49,19.6181
2021-12-22 00:06:50,19.5926
2021-12-22 00:06:51,19.6644
2021-12-22 00:06:52,19.6898
2021-12-22 00:06:53,19.6574
2021-12-22 00:06:54,19.6343
2021-12-22 00:06:55,19.6551
2021-12-22 00:06:56,19.6343
2021-12-22 00:06:57,19.6481
2021-12-22 00:06:58,19.6644
2021-12-22 00:06:59,19.6204
2021-12-22 00:07:00,19.6505
2021-12-22 00:07:01,19.6667
2021-12-22 00:07:02,19.6574
2021-12-22 00:07:03,19.6204
2021-12-22 00:07:04,19.625
2021-12-22 00:07:05,19.669
2021-12-22 00:07:06,19.6319
2021-12-22 00:07:07,19.6343
2021-12-22 00:07:08,19.6644
2021-12-22 00:07:09,19.6481
2021-12-22 00:07:10,19.6435
2021-12-22 00:07:11,19.6435
2021-12-22 00:07:12,19.6273
2021-12-22 00:07:13,19.6505
2021-12-22 00:07:14,19.669
2021-12-22 00:07:15,19.625
2021-12-22 00:07:16,19.6505
2021-12-22 00:07:17,19.669
2021-12-22 00:07:18,19.7106
2021-12-22 00:07:19,19.6968
2021-12-22 00:07:20,19.6273
2021-12-22 00:07:21,19.6296
2021-12-22 00:07:22,19.6366
2021-12-22 00:07:23,19.6875
2021-12-22 00:07:24,19.6204
2021-12-22 00:07:25,19.5741
2021-12-22 00:07:26,19.5833
2021-12-22 00:07:27,19.6273
2021-12-22 00:07:28,19.669
2021-12-22 00:07:29,19.6875
2021-12-22 00:07:30,19.5625
2021-12-22 00:07:31,19.6134
2021-12-22 00:07:32,19.6481
2021-12-22 00:07:33,19.662
