时间,引风机转速
2021-12-22 00:00:00,63.1296
2021-12-22 00:00:00,63.1296
2021-12-22 00:00:01,63.037
2021-12-22 00:00:02,63.0532
2021-12-22 00:00:03,63.0579
2021-12-22 00:00:04,63.1042
2021-12-22 00:00:05,63.1389
2021-12-22 00:00:06,63.0903
2021-12-22 00:00:07,63.0903
2021-12-22 00:00:08,63.0764
2021-12-22 00:00:09,63.0324
2021-12-22 00:00:10,63.0255
2021-12-22 00:00:11,62.9398
2021-12-22 00:00:12,62.8704
2021-12-22 00:00:13,62.7685
2021-12-22 00:00:14,62.6759
2021-12-22 00:00:15,62.6481
2021-12-22 00:00:16,62.6574
2021-12-22 00:00:17,62.6412
2021-12-22 00:00:18,62.6968
2021-12-22 00:00:19,62.7778
2021-12-22 00:00:20,62.8171
2021-12-22 00:00:21,62.838
2021-12-22 00:00:22,62.7917
2021-12-22 00:00:23,62.7593
2021-12-22 00:00:24,62.7616
2021-12-22 00:00:25,62.7685
2021-12-22 00:00:26,62.794
2021-12-22 00:00:27,62.7616
2021-12-22 00:00:28,62.8056
2021-12-22 00:00:29,62.7824
2021-12-22 00:00:30,62.7986
2021-12-22 00:00:31,62.7917
2021-12-22 00:00:32,62.7546
2021-12-22 00:00:33,62.7685
2021-12-22 00:00:34,62.7917
2021-12-22 00:00:35,62.7755
2021-12-22 00:00:36,62.7755
2021-12-22 00:00:37,62.7917
2021-12-22 00:00:38,62.6921
2021-12-22 00:00:39,62.6458
2021-12-22 00:00:40,62.581
2021-12-22 00:00:41,62.5324
2021-12-22 00:00:42,62.5
2021-12-22 00:00:43,62.5093
2021-12-22 00:00:44,62.4954
2021-12-22 00:00:45,62.5116
2021-12-22 00:00:46,62.5093
2021-12-22 00:00:47,62.5023
2021-12-22 00:00:48,62.5255
2021-12-22 00:00:49,62.5486
2021-12-22 00:00:50,62.5486
2021-12-22 00:00:51,62.5185
2021-12-22 00:00:52,62.5116
2021-12-22 00:00:53,62.5324
2021-12-22 00:00:54,62.5556
2021-12-22 00:00:55,62.5787
