时间,推料器自动指令
2021-12-22 00:00:00,60.0
2021-12-22 00:00:00,60.0
2021-12-22 00:00:01,60.0
2021-12-22 00:00:02,60.0
2021-12-22 00:00:03,60.0
2021-12-22 00:00:04,60.0
2021-12-22 00:00:05,60.0
2021-12-22 00:00:06,60.0
2021-12-22 00:00:07,60.0
2021-12-22 00:00:08,60.0
2021-12-22 00:00:09,60.0
2021-12-22 00:00:10,60.0
2021-12-22 00:00:11,60.0
2021-12-22 00:00:12,60.0
2021-12-22 00:00:13,60.0
2021-12-22 00:00:14,60.0
2021-12-22 00:00:15,60.0
2021-12-22 00:00:16,60.0
2021-12-22 00:00:17,60.0
2021-12-22 00:00:18,60.0
2021-12-22 00:00:19,60.0
2021-12-22 00:00:20,60.0
2021-12-22 00:00:21,60.0
2021-12-22 00:00:22,60.0
2021-12-22 00:00:23,60.0
2021-12-22 00:00:24,60.0
2021-12-22 00:00:25,60.0
2021-12-22 00:00:26,60.0
2021-12-22 00:00:27,60.0
2021-12-22 00:00:28,60.0
2021-12-22 00:00:29,60.0
2021-12-22 00:00:30,60.0
2021-12-22 00:00:31,60.0
2021-12-22 00:00:32,60.0
2021-12-22 00:00:33,60.0
2021-12-22 00:00:34,60.0
2021-12-22 00:00:35,60.0
2021-12-22 00:00:36,60.0
2021-12-22 00:00:37,60.0
2021-12-22 00:00:38,60.0
2021-12-22 00:00:39,60.0
2021-12-22 00:00:40,60.0
2021-12-22 00:00:41,60.0
2021-12-22 00:00:42,60.0
2021-12-22 00:00:43,60.0
2021-12-22 00:00:44,60.0
2021-12-22 00:00:45,60.0
2021-12-22 00:00:46,60.0
2021-12-22 00:00:47,60.0
2021-12-22 00:00:48,60.0
2021-12-22 00:00:49,60.0
2021-12-22 00:00:50,60.0
2021-12-22 00:00:51,60.0
2021-12-22 00:00:52,60.0
2021-12-22 00:00:53,60.0
2021-12-22 00:00:54,60.0
2021-12-22 00:00:55,60.0
2021-12-22 00:00:56,60.0
2021-12-22 00:00:57,60.0
2021-12-22 00:00:58,60.0
2021-12-22 00:00:59,60.0
2021-12-22 00:01:00,60.0
2021-12-22 00:01:01,60.0
2021-12-22 00:01:02,60.0
2021-12-22 00:01:03,60.0
2021-12-22 00:01:04,60.0
2021-12-22 00:01:05,60.0
2021-12-22 00:01:06,60.0
2021-12-22 00:01:07,60.0
2021-12-22 00:01:08,60.0
2021-12-22 00:01:09,60.0
2021-12-22 00:01:10,60.0
2021-12-22 00:01:11,60.0
2021-12-22 00:01:12,60.0
2021-12-22 00:01:13,60.0
2021-12-22 00:01:14,60.0
2021-12-22 00:01:15,60.0
2021-12-22 00:01:16,60.0
2021-12-22 00:01:17,60.0
2021-12-22 00:01:18,60.0
2021-12-22 00:01:19,60.0
2021-12-22 00:01:20,60.0
2021-12-22 00:01:21,60.0
2021-12-22 00:01:22,60.0
2021-12-22 00:01:23,60.0
2021-12-22 00:01:24,60.0
2021-12-22 00:01:25,60.0
2021-12-22 00:01:26,60.0
2021-12-22 00:01:27,60.0
2021-12-22 00:01:28,60.0
2021-12-22 00:01:29,60.0
2021-12-22 00:01:30,60.0
2021-12-22 00:01:31,60.0
2021-12-22 00:01:32,60.0
2021-12-22 00:01:33,60.0
2021-12-22 00:01:34,60.0
2021-12-22 00:01:35,60.0
2021-12-22 00:01:36,60.0
2021-12-22 00:01:37,60.0
2021-12-22 00:01:38,60.0
2021-12-22 00:01:39,60.0
2021-12-22 00:01:40,60.0
2021-12-22 00:01:41,60.0
2021-12-22 00:01:42,60.0
2021-12-22 00:01:43,60.0
2021-12-22 00:01:44,60.0
2021-12-22 00:01:45,60.0
2021-12-22 00:01:46,60.0
2021-12-22 00:01:47,60.0
2021-12-22 00:01:48,60.0
2021-12-22 00:01:49,60.0
2021-12-22 00:01:50,60.0
2021-12-22 00:01:51,60.0
2021-12-22 00:01:52,60.0
2021-12-22 00:01:53,60.0
2021-12-22 00:01:54,60.0
2021-12-22 00:01:55,60.0
2021-12-22 00:01:56,60.0
2021-12-22 00:01:57,60.0
2021-12-22 00:01:58,60.0
2021-12-22 00:01:59,60.0
2021-12-22 00:02:00,60.0
2021-12-22 00:02:01,60.0
2021-12-22 00:02:02,60.0
2021-12-22 00:02:03,60.0
2021-12-22 00:02:04,60.0
2021-12-22 00:02:05,60.0
2021-12-22 00:02:06,60.0
2021-12-22 00:02:07,60.0
