时间,汽包水位
2021-12-22 00:00:00,17.1928
2021-12-22 00:00:00,17.1928
2021-12-22 00:00:01,17.0795
2021-12-22 00:00:02,17.0938
2021-12-22 00:00:03,17.2114
2021-12-22 00:00:04,17.4172
2021-12-22 00:00:05,17.3356
2021-12-22 00:00:06,17.6115
2021-12-22 00:00:07,17.6115
2021-12-22 00:00:08,17.7631
2021-12-22 00:00:09,17.9847
2021-12-22 00:00:10,18.1787
2021-12-22 00:00:11,18.2424
2021-12-22 00:00:12,18.2644
2021-12-22 00:00:13,18.3699
2021-12-22 00:00:14,18.5694
2021-12-22 00:00:15,18.8374
2021-12-22 00:00:16,18.8564
2021-12-22 00:00:17,18.9552
2021-12-22 00:00:18,19.0641
2021-12-22 00:00:19,19.0373
2021-12-22 00:00:20,19.0598
2021-12-22 00:00:21,19.1114
2021-12-22 00:00:22,19.1856
2021-12-22 00:00:23,19.2924
2021-12-22 00:00:24,19.3528
2021-12-22 00:00:25,19.3464
2021-12-22 00:00:26,19.1494
2021-12-22 00:00:27,19.0611
2021-12-22 00:00:28,18.9802
2021-12-22 00:00:29,18.9001
2021-12-22 00:00:30,18.907
2021-12-22 00:00:31,18.8778
2021-12-22 00:00:32,18.9146
2021-12-22 00:00:33,18.9198
2021-12-22 00:00:34,18.9615
2021-12-22 00:00:35,18.92
2021-12-22 00:00:36,18.8616
2021-12-22 00:00:37,18.8776
2021-12-22 00:00:38,18.7358
2021-12-22 00:00:39,18.6289
2021-12-22 00:00:40,18.4418
2021-12-22 00:00:41,18.3164
2021-12-22 00:00:42,18.2448
2021-12-22 00:00:43,18.1522
2021-12-22 00:00:44,18.0685
2021-12-22 00:00:45,17.7962
2021-12-22 00:00:46,17.4601
2021-12-22 00:00:47,17.2521
2021-12-22 00:00:48,17.0209
2021-12-22 00:00:49,16.9165
2021-12-22 00:00:50,16.8793
2021-12-22 00:00:51,16.8706
2021-12-22 00:00:52,17.0094
2021-12-22 00:00:53,17.074
2021-12-22 00:00:54,17.1437
2021-12-22 00:00:55,17.2094
2021-12-22 00:00:56,17.2256
2021-12-22 00:00:57,17.2963
2021-12-22 00:00:58,17.2958
2021-12-22 00:00:59,17.2194
2021-12-22 00:01:00,17.0361
2021-12-22 00:01:01,16.8425
2021-12-22 00:01:02,16.3865
2021-12-22 00:01:03,16.1192
2021-12-22 00:01:04,15.9509
2021-12-22 00:01:05,15.9485
2021-12-22 00:01:06,15.8042
2021-12-22 00:01:07,15.7771
2021-12-22 00:01:08,15.798
2021-12-22 00:01:09,15.833
2021-12-22 00:01:10,15.9119
2021-12-22 00:01:11,16.1169
2021-12-22 00:01:12,16.2898
2021-12-22 00:01:13,16.2836
2021-12-22 00:01:14,16.3337
2021-12-22 00:01:15,16.3782
2021-12-22 00:01:16,16.3583
2021-12-22 00:01:17,16.267
2021-12-22 00:01:18,16.2599
2021-12-22 00:01:19,16.2626
2021-12-22 00:01:20,16.1835
2021-12-22 00:01:21,16.139
2021-12-22 00:01:22,16.0016
2021-12-22 00:01:23,15.9579
2021-12-22 00:01:24,15.7256
2021-12-22 00:01:25,15.4683
2021-12-22 00:01:26,15.2399
2021-12-22 00:01:27,15.0693
2021-12-22 00:01:28,14.9463
2021-12-22 00:01:29,14.8496
2021-12-22 00:01:30,14.7362
2021-12-22 00:01:31,14.4491
2021-12-22 00:01:32,14.4491
2021-12-22 00:01:33,14.3756
2021-12-22 00:01:34,14.4036
2021-12-22 00:01:35,14.3479
2021-12-22 00:01:36,14.2583
2021-12-22 00:01:37,13.9196
2021-12-22 00:01:38,13.4166
2021-12-22 00:01:39,12.8747
2021-12-22 00:01:40,12.4052
2021-12-22 00:01:41,12.4551
2021-12-22 00:01:42,12.5898
2021-12-22 00:01:43,12.5204
2021-12-22 00:01:44,12.4061
2021-12-22 00:01:45,12.3279
2021-12-22 00:01:46,12.3222
2021-12-22 00:01:47,12.3604
2021-12-22 00:01:48,12.3418
2021-12-22 00:01:49,12.3744
2021-12-22 00:01:50,12.4317
2021-12-22 00:01:51,12.3952
2021-12-22 00:01:52,12.4423
2021-12-22 00:01:53,12.4582
2021-12-22 00:01:54,12.3265
2021-12-22 00:01:55,12.2984
2021-12-22 00:01:56,12.3049
2021-12-22 00:01:57,12.4046
2021-12-22 00:01:58,12.3591
2021-12-22 00:01:59,12.2506
2021-12-22 00:02:00,12.1876
2021-12-22 00:02:01,12.2745
2021-12-22 00:02:02,12.3204
2021-12-22 00:02:03,12.392
2021-12-22 00:02:04,12.2773
2021-12-22 00:02:05,12.3062
2021-12-22 00:02:06,12.3721
2021-12-22 00:02:07,12.2022
2021-12-22 00:02:08,12.1033
2021-12-22 00:02:09,11.93
2021-12-22 00:02:10,11.9717
2021-12-22 00:02:11,11.9148
2021-12-22 00:02:12,11.9153
2021-12-22 00:02:13,11.7871
2021-12-22 00:02:14,11.6752
2021-12-22 00:02:15,11.7101
2021-12-22 00:02:16,11.6472
2021-12-22 00:02:17,11.4906
2021-12-22 00:02:18,11.3501
2021-12-22 00:02:19,11.3042
2021-12-22 00:02:20,11.1592
2021-12-22 00:02:21,10.9921
2021-12-22 00:02:22,10.7921
2021-12-22 00:02:23,10.6237
2021-12-22 00:02:24,10.5557
2021-12-22 00:02:25,10.4462
2021-12-22 00:02:26,10.4033
2021-12-22 00:02:27,10.2602
2021-12-22 00:02:28,10.1502
