时间,给水流量
2021-12-22 00:00:00,77.0035
2021-12-22 00:00:00,77.0035
2021-12-22 00:00:01,77.0324
2021-12-22 00:00:02,77.0979
2021-12-22 00:00:03,77.2415
2021-12-22 00:00:04,77.3591
2021-12-22 00:00:05,77.4322
2021-12-22 00:00:06,77.592
2021-12-22 00:00:07,77.592
2021-12-22 00:00:08,77.6524
2021-12-22 00:00:09,77.679
2021-12-22 00:00:10,77.6294
2021-12-22 00:00:11,77.5542
2021-12-22 00:00:12,77.4624
2021-12-22 00:00:13,77.3691
2021-12-22 00:00:14,77.296
2021-12-22 00:00:15,77.2364
2021-12-22 00:00:16,77.1819
2021-12-22 00:00:17,77.1517
2021-12-22 00:00:18,77.1315
2021-12-22 00:00:19,77.0139
2021-12-22 00:00:20,76.8483
2021-12-22 00:00:21,76.6521
2021-12-22 00:00:22,76.501
2021-12-22 00:00:23,76.3906
2021-12-22 00:00:24,76.2643
2021-12-22 00:00:25,76.1809
2021-12-22 00:00:26,76.0615
2021-12-22 00:00:27,75.9589
2021-12-22 00:00:28,75.8594
2021-12-22 00:00:29,75.8095
2021-12-22 00:00:30,75.7397
2021-12-22 00:00:31,75.6482
2021-12-22 00:00:32,75.594
2021-12-22 00:00:33,75.5726
2021-12-22 00:00:34,75.5436
2021-12-22 00:00:35,75.5097
2021-12-22 00:00:36,75.4651
2021-12-22 00:00:37,75.4341
2021-12-22 00:00:38,75.4179
2021-12-22 00:00:39,75.4307
2021-12-22 00:00:40,75.4417
2021-12-22 00:00:41,75.4353
2021-12-22 00:00:42,75.4408
2021-12-22 00:00:43,75.4361
2021-12-22 00:00:44,75.4242
2021-12-22 00:00:45,75.3927
2021-12-22 00:00:46,75.3857
2021-12-22 00:00:47,75.3852
2021-12-22 00:00:48,75.398
2021-12-22 00:00:49,75.4041
2021-12-22 00:00:50,75.3914
2021-12-22 00:00:51,75.3627
2021-12-22 00:00:52,75.34100000000001
2021-12-22 00:00:53,75.3054
2021-12-22 00:00:54,75.2791
2021-12-22 00:00:55,75.2538
2021-12-22 00:00:56,75.2422
2021-12-22 00:00:57,75.2579
2021-12-22 00:00:58,75.2791
2021-12-22 00:00:59,75.3186
2021-12-22 00:01:00,75.3527
2021-12-22 00:01:01,75.414
2021-12-22 00:01:02,75.4245
2021-12-22 00:01:03,75.4379
2021-12-22 00:01:04,75.4585
2021-12-22 00:01:05,75.4609
2021-12-22 00:01:06,75.475
2021-12-22 00:01:07,75.5126
2021-12-22 00:01:08,75.5425
2021-12-22 00:01:09,75.5167
2021-12-22 00:01:10,75.4402
2021-12-22 00:01:11,75.3398
2021-12-22 00:01:12,75.2803
2021-12-22 00:01:13,75.2283
2021-12-22 00:01:14,75.1331
2021-12-22 00:01:15,75.0706
2021-12-22 00:01:16,74.9693
2021-12-22 00:01:17,74.8049
2021-12-22 00:01:18,74.6029
2021-12-22 00:01:19,74.4048
2021-12-22 00:01:20,74.2285
2021-12-22 00:01:21,74.0921
2021-12-22 00:01:22,73.9875
2021-12-22 00:01:23,73.9036
2021-12-22 00:01:24,73.7989
2021-12-22 00:01:25,73.7065
2021-12-22 00:01:26,73.7391
2021-12-22 00:01:27,73.8816
2021-12-22 00:01:28,74.0725
2021-12-22 00:01:29,74.2759
2021-12-22 00:01:30,74.4077
2021-12-22 00:01:31,74.6042
2021-12-22 00:01:32,74.6042
2021-12-22 00:01:33,74.646
2021-12-22 00:01:34,74.6077
2021-12-22 00:01:35,74.5612
2021-12-22 00:01:36,74.5305
2021-12-22 00:01:37,74.5185
2021-12-22 00:01:38,74.5156
2021-12-22 00:01:39,74.4557
2021-12-22 00:01:40,74.4096
2021-12-22 00:01:41,74.3967
2021-12-22 00:01:42,74.3761
2021-12-22 00:01:43,74.3716
2021-12-22 00:01:44,74.3988
2021-12-22 00:01:45,74.3905
2021-12-22 00:01:46,74.3851
2021-12-22 00:01:47,74.3909
2021-12-22 00:01:48,74.4234
2021-12-22 00:01:49,74.4469
2021-12-22 00:01:50,74.4742
2021-12-22 00:01:51,74.4563
2021-12-22 00:01:52,74.4245
2021-12-22 00:01:53,74.3629
2021-12-22 00:01:54,74.248
2021-12-22 00:01:55,74.146
2021-12-22 00:01:56,74.0782
2021-12-22 00:01:57,74.0112
2021-12-22 00:01:58,73.9687
2021-12-22 00:01:59,73.9348
2021-12-22 00:02:00,73.9201
2021-12-22 00:02:01,73.8494
2021-12-22 00:02:02,73.794
2021-12-22 00:02:03,73.7225
2021-12-22 00:02:04,73.6918
2021-12-22 00:02:05,73.6625
2021-12-22 00:02:06,73.6496
2021-12-22 00:02:07,73.6522
2021-12-22 00:02:08,73.6388
2021-12-22 00:02:09,73.6161
2021-12-22 00:02:10,73.5895
2021-12-22 00:02:11,73.5874
2021-12-22 00:02:12,73.6074
2021-12-22 00:02:13,73.615
2021-12-22 00:02:14,73.5852
2021-12-22 00:02:15,73.5294
2021-12-22 00:02:16,73.4708
2021-12-22 00:02:17,73.4083
2021-12-22 00:02:18,73.3237
2021-12-22 00:02:19,73.2479
2021-12-22 00:02:20,73.1669
2021-12-22 00:02:21,73.1298
2021-12-22 00:02:22,73.1034
2021-12-22 00:02:23,73.0481
2021-12-22 00:02:24,72.979
2021-12-22 00:02:25,72.9371
2021-12-22 00:02:26,72.9017
2021-12-22 00:02:27,72.9123
2021-12-22 00:02:28,72.9201
2021-12-22 00:02:29,72.8968
2021-12-22 00:02:30,72.8558
2021-12-22 00:02:31,72.8349
2021-12-22 00:02:32,72.8516
2021-12-22 00:02:33,72.8533
2021-12-22 00:02:34,72.8626
2021-12-22 00:02:35,72.9478
2021-12-22 00:02:36,73.0563
2021-12-22 00:02:37,73.2077
2021-12-22 00:02:38,73.3905
2021-12-22 00:02:39,73.5382
2021-12-22 00:02:40,73.667
2021-12-22 00:02:41,73.791
2021-12-22 00:02:42,73.9064
2021-12-22 00:02:43,74.0542
2021-12-22 00:02:44,74.14399999999999
2021-12-22 00:02:45,74.2149
2021-12-22 00:02:46,74.2085
2021-12-22 00:02:47,74.166
2021-12-22 00:02:48,74.1435
2021-12-22 00:02:49,74.1088
2021-12-22 00:02:50,74.0785
2021-12-22 00:02:51,74.0368
2021-12-22 00:02:52,74.0325
2021-12-22 00:02:53,74.0034
2021-12-22 00:02:54,73.9767
2021-12-22 00:02:55,73.9744
2021-12-22 00:02:56,73.9756
2021-12-22 00:02:57,73.9736
2021-12-22 00:02:58,73.9736
2021-12-22 00:02:59,73.9907
2021-12-22 00:03:00,73.9778
2021-12-22 00:03:01,73.9472
2021-12-22 00:03:02,73.9256
2021-12-22 00:03:03,73.9403
2021-12-22 00:03:04,73.9567
2021-12-22 00:03:05,73.9465
2021-12-22 00:03:06,73.9159
2021-12-22 00:03:07,73.9393
2021-12-22 00:03:08,73.9713
2021-12-22 00:03:09,73.9622
2021-12-22 00:03:10,73.9416
2021-12-22 00:03:11,73.9427
2021-12-22 00:03:12,73.9584
2021-12-22 00:03:13,73.955
2021-12-22 00:03:14,73.9387
2021-12-22 00:03:15,73.9512
2021-12-22 00:03:16,73.9635
2021-12-22 00:03:17,73.9538
2021-12-22 00:03:18,73.9534
2021-12-22 00:03:19,73.9377
2021-12-22 00:03:20,73.9239
2021-12-22 00:03:21,73.9331
2021-12-22 00:03:22,73.9498
2021-12-22 00:03:23,73.9623
2021-12-22 00:03:24,73.9772
2021-12-22 00:03:25,73.9982
2021-12-22 00:03:26,74.0106
2021-12-22 00:03:27,74.0236
2021-12-22 00:03:28,74.0277
2021-12-22 00:03:29,74.044
2021-12-22 00:03:30,74.0478
2021-12-22 00:03:31,74.0206
2021-12-22 00:03:32,74.0167
2021-12-22 00:03:33,74.0117
2021-12-22 00:03:34,74.0124
2021-12-22 00:03:35,74.0113
2021-12-22 00:03:36,74.013
2021-12-22 00:03:37,74.0393
2021-12-22 00:03:38,74.0484
2021-12-22 00:03:39,74.0253
2021-12-22 00:03:40,74.0065
2021-12-22 00:03:41,73.9981
2021-12-22 00:03:42,73.993
2021-12-22 00:03:43,73.9963
2021-12-22 00:03:44,74.0023
2021-12-22 00:03:45,74.0216
2021-12-22 00:03:46,74.0367
2021-12-22 00:03:47,74.0571
2021-12-22 00:03:48,74.07600000000001
2021-12-22 00:03:49,74.0867
2021-12-22 00:03:50,74.0638
2021-12-22 00:03:51,74.0106
2021-12-22 00:03:52,73.9857
2021-12-22 00:03:53,73.9847
2021-12-22 00:03:54,73.9753
2021-12-22 00:03:55,73.9673
2021-12-22 00:03:56,73.9658
2021-12-22 00:03:57,73.9778
2021-12-22 00:03:58,73.9849
2021-12-22 00:03:59,73.9875
2021-12-22 00:04:00,73.9649
2021-12-22 00:04:01,73.9365
2021-12-22 00:04:02,73.9625
2021-12-22 00:04:03,74.1094
2021-12-22 00:04:04,74.291
2021-12-22 00:04:05,74.4626
2021-12-22 00:04:06,74.5994
2021-12-22 00:04:07,74.7264
2021-12-22 00:04:08,74.7649
2021-12-22 00:04:09,74.7333
2021-12-22 00:04:10,74.66
2021-12-22 00:04:11,74.5312
2021-12-22 00:04:12,74.389
2021-12-22 00:04:13,74.2978
2021-12-22 00:04:14,74.2223
2021-12-22 00:04:15,74.1816
2021-12-22 00:04:16,74.1666
2021-12-22 00:04:17,74.1265
2021-12-22 00:04:18,74.084
2021-12-22 00:04:19,74.0486
2021-12-22 00:04:20,74.0486
2021-12-22 00:04:21,74.0546
2021-12-22 00:04:22,74.0451
2021-12-22 00:04:23,74.0087
2021-12-22 00:04:24,74.0133
2021-12-22 00:04:25,74.0197
2021-12-22 00:04:26,73.9966
2021-12-22 00:04:27,73.9875
2021-12-22 00:04:28,74.0117
2021-12-22 00:04:29,74.0141
2021-12-22 00:04:30,73.9772
2021-12-22 00:04:31,73.9613
2021-12-22 00:04:32,74.0046
2021-12-22 00:04:33,74.1197
2021-12-22 00:04:34,74.2398
2021-12-22 00:04:35,74.4004
2021-12-22 00:04:36,74.5627
2021-12-22 00:04:37,74.7466
2021-12-22 00:04:38,74.9043
2021-12-22 00:04:39,75.0097
2021-12-22 00:04:40,75.1084
2021-12-22 00:04:41,75.1597
2021-12-22 00:04:42,75.2256
2021-12-22 00:04:43,75.2542
2021-12-22 00:04:44,75.2679
2021-12-22 00:04:45,75.2998
2021-12-22 00:04:46,75.3303
2021-12-22 00:04:47,75.3675
2021-12-22 00:04:48,75.3886
2021-12-22 00:04:49,75.4616
2021-12-22 00:04:50,75.4934
2021-12-22 00:04:51,75.5007
2021-12-22 00:04:52,75.4302
2021-12-22 00:04:53,75.332
2021-12-22 00:04:54,75.2022
2021-12-22 00:04:55,75.0695
2021-12-22 00:04:56,74.9477
2021-12-22 00:04:57,74.8823
2021-12-22 00:04:58,74.8149
2021-12-22 00:04:59,74.7414
2021-12-22 00:05:00,74.727
2021-12-22 00:05:01,74.7127
2021-12-22 00:05:02,74.6388
2021-12-22 00:05:03,74.6015
2021-12-22 00:05:04,74.5393
2021-12-22 00:05:05,74.5393
2021-12-22 00:05:06,74.4941
2021-12-22 00:05:07,74.4719
2021-12-22 00:05:08,74.4659
2021-12-22 00:05:09,74.4699
2021-12-22 00:05:10,74.4956
2021-12-22 00:05:11,74.4986
2021-12-22 00:05:12,74.4677
2021-12-22 00:05:13,74.4339
2021-12-22 00:05:14,74.4156
2021-12-22 00:05:15,74.3987
2021-12-22 00:05:16,74.3747
2021-12-22 00:05:17,74.3729
2021-12-22 00:05:18,74.3768
2021-12-22 00:05:19,74.414
2021-12-22 00:05:20,74.4224
2021-12-22 00:05:21,74.4115
2021-12-22 00:05:22,74.4303
2021-12-22 00:05:23,74.4801
2021-12-22 00:05:24,74.5702
2021-12-22 00:05:25,74.6402
2021-12-22 00:05:26,74.7578
2021-12-22 00:05:27,74.8624
2021-12-22 00:05:28,74.9635
2021-12-22 00:05:29,75.0376
2021-12-22 00:05:30,75.082
2021-12-22 00:05:31,75.1621
2021-12-22 00:05:32,75.2128
2021-12-22 00:05:33,75.2468
2021-12-22 00:05:34,75.3204
2021-12-22 00:05:35,75.395
2021-12-22 00:05:36,75.4603
2021-12-22 00:05:37,75.4838
2021-12-22 00:05:38,75.5161
2021-12-22 00:05:39,75.5579
2021-12-22 00:05:40,75.5726
2021-12-22 00:05:41,75.5663
2021-12-22 00:05:42,75.541
2021-12-22 00:05:43,75.4875
2021-12-22 00:05:44,75.3523
2021-12-22 00:05:45,75.2164
2021-12-22 00:05:46,75.0849
2021-12-22 00:05:47,74.9636
2021-12-22 00:05:48,74.8559
2021-12-22 00:05:49,74.7755
2021-12-22 00:05:50,74.6772
2021-12-22 00:05:51,74.6066
2021-12-22 00:05:52,74.5816
2021-12-22 00:05:53,74.6245
2021-12-22 00:05:54,74.7175
